"File","Message"
"controllerCourse.js","At least one batch is required for a published course"
"controllerCourse.js","Booking cut-off options retrieved successfully"
"controllerCourse.js","Cannot edit a course that has already ended"
"controllerCourse.js","Cannot modify the start date/time of a course that is already live"
"controllerCourse.js","Course analytics retrieved successfully"
"controllerCourse.js","Course category is required for a published course"
"controllerCourse.js","Course not found"
"controllerCourse.js","Course title is required for a published course"
"controllerCourse.js","Draft course deleted successfully"
"controllerCourse.js","End date must be in the future"
"controllerCourse.js","Enrollment type is required for a published course"
"controllerCourse.js","Invalid course ID format"
"controllerCourse.js","Once a course is published, it cannot be changed back to a draft"
"controllerCourse.js","One or more provided user IDs are not valid staff members"
"controllerCourse.js","Only draft courses can be deleted"
"controllerCourse.js","Organizer courses analytics summary retrieved successfully"
"controllerCourse.js","Organizer has no courses for analytics"
"controllerCourse.js","Price is required for a published course"
"controllerCourse.js","Staff successfully assigned to the course"
"controllerCourse.js","Start and end dates are required for a published course"
"controllerCourse.js","Start date is required for a published course"
"controllerCourse.js","Start date must be before end date"
"controllerCourse.js","Start date must be in the future for upcoming courses"
"controllerCourse.js","Total sessions is required for a published course"
"controllerCourse.js","Venue address with valid latitude and longitude is required for a published course"
"controllerCourse.js","You are not authorized to assign staff to this course"
"controllerCourse.js","You are not authorized to delete this course"
"controllerCourse.js","You are not authorized to view analytics for this course"
"controllerEvent.js","At least one ticket is required for a published event"
"controllerEvent.js","Both minimum and maximum age must be specified and non-negative for RANGE type"
"controllerEvent.js","Cannot modify the start date/time of an event that is already live"
"controllerEvent.js","Draft event deleted successfully"
"controllerEvent.js","End date must be in the future"
"controllerEvent.js","Event analytics retrieved successfully"
"controllerEvent.js","Event category is required for a published event"
"controllerEvent.js","Event not found"
"controllerEvent.js","Event title is required for a published event"
"controllerEvent.js","Invalid event ID format"
"controllerEvent.js","Minimum age must be less than maximum age"
"controllerEvent.js","Minimum age must be specified and non-negative for MIN_AGE type"
"controllerEvent.js","Once an event is published, it cannot be changed back to a draft"
"controllerEvent.js","One or more provided user IDs are not valid staff members"
"controllerEvent.js","Only draft events can be deleted"
"controllerEvent.js","Organizer events and courses analytics summary retrieved successfully"
"controllerEvent.js","Organizer has no listings for analytics"
"controllerEvent.js","Refund policies retrieved successfully"
"controllerEvent.js","Staff successfully assigned to the event"
"controllerEvent.js","Start and end dates are required for a published event"
"controllerEvent.js","Start date must be before end date"
"controllerEvent.js","Start date must be in the future for upcoming events"
"controllerEvent.js","Venue address with valid latitude and longitude is required for a published event"
"controllerEvent.js","You are not authorized to assign staff to this event"
"controllerEvent.js","You are not authorized to delete this event"
"controllerEvent.js","You are not authorized to view analytics for this event"
"controllerEvent.js","Your event is already live"
"controllerExplore.js","All search history cleared successfully"
"controllerExplore.js","Explore list fetched successfully"
"controllerExplore.js","id and type (event/course) are required"
"controllerExplore.js","Invalid type. Must be 'event' or 'course'"
"controllerExplore.js","Query is required"
"controllerExplore.js","Recent searches retrieved successfully"
"controllerExplore.js","Search query deleted successfully"
"controllerExplore.js","Search query saved to history successfully"
"controllerExplore.js","Search results fetched successfully"
"controllerExplore.js","Share URL generated successfully"
"controllerExplore.js","Trending searches retrieved successfully"
"controllerExplore.js","User not authenticated"
"controllerNotification.js","Notifications deleted successfully"
"controllerReferral.js","Referral rewards fetched"
"controllerUser.js","Assigned list retrieved successfully"
"controllerUser.js","Invalid action. Use 'approve' or 'reject'."
"controllerUser.js","Invalid email or password"
"controllerUser.js","Invalid old password."
"controllerUser.js","Invalid or expired reset token."
"controllerUser.js","Only organizers can update organizer info"
"controllerUser.js","Organizer info submitted successfully. Your account is now under review."
"controllerUser.js","OTP verified successfully. Use the token to reset password."
"controllerUser.js","Password updated successfully."
"controllerUser.js","Reset token required."
"controllerUser.js","Scan history retrieved successfully"
"controllerUser.js","Staff account not found"
"controllerUser.js","Staff list retrieved successfully"
"controllerUser.js","Staff logged in successfully"
"controllerUser.js","Staff member added successfully"
"controllerUser.js","Staff member not found or access denied"
"controllerUser.js","Staff member removed successfully"
"controllerUser.js","Staff member updated successfully"
"controllerUser.js","Timezone updated successfully"
"controllerUser.js","Type is required (LOGIN, CUSTOMER, ORGANIZER)."
"controllerUser.js","Type is required (LOGIN, CUSTOMER, ORGANIZER, FORGOT_PASSWORD)."
"controllerUser.js","User is not an organizer"
"controllerUser.js","User list fetched successfully"
"controllerUser.js","User profile fetched successfully"
"controllerUserSetting.js","Invalid appTheme value. Allowed values: 'light', 'dark'."
"controllerUserSetting.js","Invalid language value. Allowed values: 'English', 'Mongolian'."
"controllerVerification.js","Active banks fetched successfully."
"controllerVerification.js","Bank added successfully."
"controllerVerification.js","Bank deleted successfully."
"controllerVerification.js","Bank details have not been submitted yet."
"controllerVerification.js","Bank Name already exists."
"controllerVerification.js","Bank Name is required."
"controllerVerification.js","Bank Name, Holder Name, and Account Number are required for Bank Verification."
"controllerVerification.js","Bank not found."
"controllerVerification.js","Bank updated successfully."
"controllerVerification.js","Both front and back images are required for Driving Licence."
"controllerVerification.js","Both front and back images are required for National ID."
"controllerVerification.js","Business details have not been submitted yet."
"controllerVerification.js","Business Name and Business Category are required for Business Verification."
"controllerVerification.js","Country code and contact number are required to resend OTP."
"controllerVerification.js","Country code and contact number are required."
"controllerVerification.js","Driving Licence has not been submitted yet."
"controllerVerification.js","Email is required to resend OTP."
"controllerVerification.js","Email is required."
"controllerVerification.js","Email verified successfully."
"controllerVerification.js","Invalid verification type. Must be 'nationalId', 'drivingLicence', 'bankVerification', or 'businessVerification'."
"controllerVerification.js","National ID has not been submitted yet."
"controllerVerification.js","No verification details provided. Please submit nationalId, drivingLicence, bankVerification, or businessVerification."
"controllerVerification.js","OTP is required."
"controllerVerification.js","OTP resent successfully to your email address."
"controllerVerification.js","OTP resent successfully to your phone number."
"controllerVerification.js","OTP sent successfully to your email address."
"controllerVerification.js","OTP sent successfully to your phone number."
"controllerVerification.js","Phone number verified successfully."
